date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:34	64130/64130	---M-Z	200	added ('OK')	text/html	etag:%22fa82-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/uc-nestable.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/uc-nestable.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:34	86869/86869	---M-Z	200	added ('OK')	text/html	etag:%2215355-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/uc-noui-slider.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/uc-noui-slider.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:34	64512/64512	---M-Z	200	added ('OK')	text/html	etag:%22fc00-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/uc-sweetalert.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/uc-sweetalert.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:34	58526/58526	---M-Z	200	added ('OK')	text/html	etag:%22e49e-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/uc-toastr.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/uc-toastr.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:34	57564/57564	---M-Z	200	added ('OK')	text/html	etag:%22e0dc-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/map-jqvmap.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/map-jqvmap.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:35	57086/57086	---M-Z	200	added ('OK')	text/html	etag:%22defe-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/uc-lightgallery.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/uc-lightgallery.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:35	166461/166461	---M-Z	200	added ('OK')	text/html	etag:%2228a3d-5d59d9f046380-gzip%22	https://koki.dexignzone.com/xhtml/widget-basic.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/widget-basic.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:35	113617/113617	---M-Z	200	added ('OK')	text/html	etag:%221bbd1-5d5a193b33700-gzip%22	https://koki.dexignzone.com/xhtml/form-element.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/form-element.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:35	66054/66054	---M-Z	200	added ('OK')	text/html	etag:%2210206-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/form-wizard.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/form-wizard.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:36	56933/56933	---M-Z	200	added ('OK')	text/html	etag:%22de65-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/form-ckeditor.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/form-ckeditor.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:36	67795/67795	---M-Z	200	added ('OK')	text/html	etag:%22108d3-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/form-pickers.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/form-pickers.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:36	72560/72560	---M-Z	200	added ('OK')	text/html	etag:%2211b70-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/form-validation-jquery.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/form-validation-jquery.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:36	118716/118716	---M-Z	200	added ('OK')	text/html	etag:%221cfbc-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/table-bootstrap-basic.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/table-bootstrap-basic.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:36	213177/213177	---M-Z	200	added ('OK')	text/html	etag:%22340b9-5d59d0d94f180-gzip%22	https://koki.dexignzone.com/xhtml/table-datatable-basic.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/table-datatable-basic.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:37	3757/3757	---M-Z	200	added ('OK')	text/html	etag:%22ead-5d565299b2580-gzip%22	https://koki.dexignzone.com/xhtml/page-register.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/page-register.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:37	2090/2090	---M-Z	200	added ('OK')	text/html	etag:%2282a-5d565299b2580-gzip%22	https://koki.dexignzone.com/xhtml/page-error-400.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/page-error-400.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:37	2113/2113	---M-Z	200	added ('OK')	text/html	etag:%22841-5d565299b2580-gzip%22	https://koki.dexignzone.com/xhtml/page-error-403.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/page-error-403.html	(from https://koki.dexignzone.com/xhtml/index.html)
16:58:37	2160/2160	---M-Z	200	added ('OK')	text/html	etag:%22870-5d565299b2580-gzip%22	https://koki.dexignzone.com/xhtml/page-error-404.html	C:/Users/arti_/Downloads/AdminDashboard/koki.dexignzone.com/xhtml/page-error-404.html	(from https://koki.dexignzone.com/xhtml/index.html)
